item_id,location_type,is_discounted,category,is_returnable,stock_level,brand,url,sku,name,description,price,currency,scraped_at,subcategory,gender,RFID_Tag,actual_stock,inaccuracy_rate,will_stockout
198934,Aisle,Yes,Clothing,Yes,2890,Zara,https://www.zara.com/us/en/relaxed-fit-t-shirt-p00722404.html,000003861-905-3,COMBINATION SATIN EFFECT SLIT SKORT,Mini dress with round neck and long sleeves. Fitted waist with side ruching.,89.9,USD,8:51:30 a.m.,skirts,Man,YES,2877,0,NO
198564,Front of Store,Yes,Clothing,Yes,1516,Zara,https://www.zara.com/us/en/soft-flap-crossbody-bag-p13614320.html,000003491-339-7,TEXT PRINT SWEATSHIRT,Lapel collar shirt with long turned-up sleeves with matching print. Side vents at hem. Front hidden button closure.,119,USD,9:10:36 a.m.,linen,Man,YES,1502,0.267022697,YES
199404,Front of Store,Yes,Clothing,No,1057,Zara,https://www.zara.com/us/en/ruffled-print-blouse-p09878060.html,000004331-739-9,SHIMMERY BOUCLÉ JACQUARD TOP,"CROPPED - HIGH WAIST

Five pocket jeans with a high waist. Seamless cropped flared hems. Front zip and metal button closure.",47.9,USD,9:10:46 a.m.,overshirts,Woman,YES,1045,0.381315539,NO
195113,Aisle,No,Clothing,No,2932,Zara,https://www.zara.com/us/en/knit-sweater-with-buttons-p08851131.html,000000040-053-9,ZW COLLECTION SLIM 100% SILK SHIRT,Sweater with brushed finish. Round neck and long sleeves. Rib trim.,89.9,USD,8:56:29 a.m.,tops,Woman,YES,2918,0.13726836,NO
195570,End-cap,No,Clothing,No,1578,Zara,https://www.zara.com/us/en/faux-shearling-flat-leather-ankle-boots-p12170210.html,000000497-432-9,HEELED GAITER BOOTS,"ZARA WOMAN COLLECTION

Shirt made of 100% viscose. Lapel collar and long cuffed sleeves. Contrasting print. Asymmetric hem. Front button closure.",869,USD,9:00:38 a.m.,dresses,Man,YES,1564,0.255102041,NO
197937,Front of Store,Yes,Clothing,No,2232,Zara,https://www.zara.com/us/en/rubberized-explorer-backpack-p13257220.html,000002864-631-9,RUCHED TEXTURED SHIRT,Round neck long sleeve full cut sweater. Rib trim.,1.99,USD,8:50:37 a.m.,blazers,Woman,YES,2221,0.224618149,NO
202588,End-cap,Yes,Clothing,Yes,1602,Zara,https://www.zara.com/us/en/full-midi-skirt-zw-collection-p02679371.html,000007515-385-7,POPLIN MIDI SKIRT,"SLIM FIT - MOCK NECK - CROPPED - SLEEVELESS

Sleeveless mock neck cotton top.",17.99,USD,8:54:41 a.m.,blazers,Woman,YES,1590,0,NO
203425,Front of Store,No,Clothing,No,2579,Zara,https://www.zara.com/us/en/basic-sneakers-p12250320.html,000008352-817-4,SEMI-SHEER FLORAL PRINT BLOUSE,"Relaxed Fit - Straight Leg - Mid Waist
ZARA WOMAN JEANS

Jeans made of 100% cotton. Mid-rise and belt loops. Five pockets. Front zip and button closure.",439,USD,8:51:10 a.m.,pants,Man,NO,2567,0.194401244,NO
199663,Front of Store,No,Clothing,Yes,2026,Zara,https://www.zara.com/us/en/bow-trim-velvet-slingback-shoes-p11226310.html,000004590-249-1,LUG SOLE LOAFERS,Jacket made of faux suede fabric. Ribbed elastic high collar and long sleeve. Welt pockets at hip. Rib trim. Front zip closure.,869,USD,8:51:29 a.m.,skirts,Woman,YES,2014,0.24764735,YES
201371,End-cap,Yes,Clothing,Yes,1536,Zara,https://www.zara.com/us/en/mini-leather-crossbody-bag-p13913320.html,000006298-711-8,PAISLEY PRINT MIDI DRESS,"Monochromatic clutch. Main compartment with zip closure. Small interior zip pocket. Front pocket with zip closure. Features a handle that can be hidden at the back, allowing it either to be carried by the handle or as a wallet.",29.99,USD,8:50:54 a.m.,tops,Man,YES,1522,0.196721311,NO
196262,Aisle,No,Clothing,No,741,Zara,https://www.zara.com/us/en/nylon-crossbody-bag-p13620320.html,000001189-353-5,FAUX LEATHER BIKER JACKET,V-neck cropped sweater with long sleeves. Front patch pockets. Contrast topstitching.,17.9,USD,9:10:52 a.m.,tops,Man,YES,728,0.137174211,YES
199654,Front of Store,No,Clothing,No,2643,Zara,https://www.zara.com/us/en/text-print-t-shirt-p06224422.html,000004581-592-3,ROMANTIC LACE TOP,"Suede bag with shoulder straps. Folded top section. Topstitching detail. 

Height x Length x Width: 11.2 x 10.4 x 3.3 inches (28.5 x 26.5 x 8.5 cm)",349,USD,8:51:07 a.m.,linen,Man,YES,2631,0.113895216,YES
196645,Front of Store,No,Clothing,No,2233,Zara,https://www.zara.com/us/en/high-waist-wide-leg-pants-p00779058.html,000001572-643-2,ANIMAL PRINT LOAFERS,Sweater made of lightweight fabric. Round neck and long sleeves.,15.9,USD,8:51:40 a.m.,puffers,Man,YES,2218,0.180018002,NO
199514,Aisle,No,Clothing,No,1006,Zara,https://www.zara.com/us/en/z1975-mom-fit-jeans-with-a-high-waist-p04083022.html,000004441-125-5,HIGH SHAFT LACE-UP LEATHER BOOTS LIMITED EDITION,Long sleeve round neck sweater. Rib trim.,299,USD,9:10:50 a.m.,bodysuits,Woman,YES,992,0.201207243,YES
200154,Aisle,No,Clothing,Yes,2429,Zara,https://www.zara.com/us/en/oversized-striped-shirt-p03564067.html,000005081-249-6,BELTED WAXED DRESS,Puffer vest with high collar. Welt pockets at hip. Front zip closure.,149,USD,8:51:37 a.m.,jeans,Man,YES,2418,0.123915737,YES
200003,Front of Store,No,Clothing,No,928,Zara,https://www.zara.com/us/en/longline-quilted-coat-p03918422.html,000004930-617-6,STRIPE PRINT SWIMMING TRUNKS,"Metallic effect heeled sandals. Front mesh detail. Round toe. 

Heel height: 2.8 inches (7 cm)",159,USD,8:51:42 a.m.,puffers,Woman,YES,915,0.218102508,NO
202431,End-cap,No,Clothing,No,2419,Zara,https://www.zara.com/us/en/box-pleat-mini-skirt-p01255400.html,000007358-341-6,FUNNEL NECK SWEATER,Quilted anorak with thermal insulation tested in laboratories to withstand temperatures as low as -4° F (-20°C). High collar and hood. Long sleeves with elastic cuffs. Front hidden in-seam zip pockets. Adjustable elastic drawcord hem with toggles. Front zip closure hidden by a snap button flap.,69.9,USD,8:51:07 a.m.,jackets,Woman,YES,2404,0,YES
202618,End-cap,Yes,Clothing,Yes,1789,Zara,https://www.zara.com/us/en/carpenter-pocket-pants-p05862480.html,000007545-899-2,ZW COLLECTION STRAIGHT CUT JACKET,Jacket made of technical fabric. High collar and long sleeves with adjustable cuffs with snap button straps. Flap patch pockets at hip. Adjustable drawstring hem. Washed effect. Front zip hidden by a snap button flap.,10.9,USD,8:50:28 a.m.,suits,Woman,YES,1774,0.225988701,NO
201602,Front of Store,Yes,Clothing,Yes,680,Zara,https://www.zara.com/us/en/football-jersey-p02888407.html,000006529-683-8,DISTRESSED LEATHER ANKLE BOOTS,Shirt with lapel collar and long sleeves. Front patch pockets with flaps. Front button closure.,79.99,USD,8:50:09 a.m.,linen,Woman,YES,669,0.601503759,NO
202820,Aisle,Yes,Clothing,Yes,1869,Zara,https://www.zara.com/us/en/slouchy-fit-jeans-p05862406.html,000007747-942-7,LEATHER STRAPPY SANDALS,"Mini crossbody bag. Made of leather. Rigid exterior. Single compartment. Adjustable shoulder strap.

Height x Length: 8.3 x 5.9 inches (21 x 15 cm)

Limited edition.",229,USD,8:51:35 a.m.,shoes,Man,YES,1856,0.215053763,NO
